"","Donor(s)","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"Malaysia","","-6.14","-14.82","0.24","8.44",,"2.26","0.08",,"-0.01","0.06","2.31","0.26","1.02","11.22",,"0.01",,,,"-53.16","1.73",,"0.19",,"0.77",,,,"0.01","0.1","0.54",,"-0.75","18.54","1.21",,,,,,,,,,,,,,"0.01",,,,"0.03",,"0.06","0.14",,,,"-0.42",,,,,,,,,,,,"-0.42","5.13",,"0.56",,,"0.06","0.49",,,"0.39","3.05","0.58",,,,,,,,,,,,,"2.52",,,,,,,,"1.92",,,,"0.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-23.14","15.05",
"Maldives","","88.28","56.57","4.98","26.73",,"4.95",,,"0.09",,"11.4","0.25","0.49","0.14","0.01",,,,,"37.3","0.12","0.07",,"0.6","0.03",,,,,,,,"0.26","0.86","5.62",,,,,,"0.02",,"3.14",,,,,,,,,,"0.15",,"0.01","1.66",,"1.56","1.56","-0.23",,,,,,,,,,,,"-0.23","3.58",,,"1.21",,,"0.79",,,"0.48",,"1.1",,,,,,,,"15.66","15.66",,"15.66",,"0.54",,,,,,,,"0.91","0.58",,,,"-0.29","-0.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39.14","12.62",
"Mali","","1091.46","684.96","0.09","406.41","10.9","0.01","0.19","18.72","96.04","0.24","30.58","0.73","77.56","60.32","0.01",,,"0.2","2.59","38.29","0.44","14.24","56.69",,"15.95",,"0.01",,,"28.4","27","18.49","0.05","198.21","98.52",,,,"0.42",,"0.05",,"-0.93",,,,,,,,,,"0.01",,"0.42","0.13",,"5.9","5.9","80.58","71.84",,"71.84",,,,,,,,,"8.74","27.17",,"0.43","1.8",,"0.6","7.88",,,"2.67","0.03","13.22",,,,,"0.54",,,"153.22","153.22",,"153.22",,"41.02",,"5.83",,,,,"21.88","3.54","10.51",,,,,"-0.74",,,,,,,"10.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"473.06","317.53",
"Malta","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marshall Islands","","24.93","24.04","0.02","0.88",,"1.66",,,,,,,,,,,,,,"12.59","0.01",,,"0.09",,,,,,,,,,"9.69","0.55",,,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.33",,,,,,,,"0.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22.28",,
"Mauritania","","373.61","101.71","18.29","253.6","0.01",,,"0.54","0.51","0.01",,"0.23","32.23","7.68","0.05","0.01",,,"2.12","14.56","0.08",,,,"0.59",,,,,"34.69","0.47","0.51",,"7.43","25.27",,,,,,,,"17.84",,,,,,,,,,,,"0.46","-0.01",,"33.69","33.69","38.59","18.76","3.71","15.05",,,,,,,,,"19.83","14.29",,"0.26","2.42",,"0.13","2.45",,,"2.67","0.54","2.45",,,,,"3.37",,,"38.31","38.31",,"38.31",,"103.45",,,"92.11",,,,"2.35","3.15","-0.3",,,,,"6.14",,,,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64.53","78.03",
"Mauritius","","124.59","58.17","-2.03","68.45",,"0.13","0.01",,"0.03",,,"0.03","53.98","-0.21",,"0.01",,"0.23",,"-2.85","0.03","0.37",,"0.04","0.33","0.01",,,,"0.03",,,"5.53","0.47","67.88",,,,,,,,"-2.13",,,,,,"0.08",,,,"0.01",,"0.01",,,,,"-0.05","-0.16",,"-0.16",,,,,,,,,"0.11","0.83",,"0.37","-0.63",,,"1.08",,,"0.01",,,,,,,,,,"-0.61","-0.61",,"-0.61",,"0.4",,"-2.84",,,,,,"1.4","2.06",,,,"-0.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56.95","59.99",
"Mayotte","","603.85","602.85",,"1",,,,,,,,,"602.85",,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"602.85","602.85",
"Mekong Delta Project","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mexico","","454.73","420.64","1.11","32.97","3.5","0.42","0.85","0.58","1.4",,,"0.97","205.82","35.5","0.12","0.09",,"0.08","1.05","-46.73","0.55",,"-0.27","0.03","0.05","0.04","0.03",,,"5.26","0.03","0.33","9.41","205.03","7.51",,,,,,"0.86",,,,,,,,,,,,,,"0.07","0.18",,,,,,,,,,,,,,,,,"3.5",,"0.59",,,"0.05","0.15",,,"1.42","0.39","0.9",,,,,,,,,,,,,"21.96",,,,,,,,"18.57","3.39",,,,,,,,,,,,"3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"411.48","259.56",
"Micronesia","","63.77","63.23","0.04","0.5","0.62","1.44",,,"0.01",,,,,"0.03",,,,"0.02",,"16.34","0.02",,,"0.06",,,,,,,,,,"45.31","0.5",,,,,,"0.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61.69","0.05",
"Moldova","","473.01","97.29","26.28","349.44",,,"3.68",,"0.16","3.97","2.69","1.22","6.44","8.67","1.21","0.22",,"0.02","1.44","0.93","0.06","0.28","5.62",,"3","1.14",,"0.46","0.05","0.06","12.45","8.65","14.46","20.41","138",,,,"0.03","0.32","1.96",,"0.3","0.03",,"0.12",,,"19.24",,,,"0.01",,"4.26","0.01",,"113.6","113.6","0.4",,,,,,,,,,"0.4",,,"10.62",,"0.79","5.8",,"0.19","2.33",,,"0.53","0.27","0.71",,,,,,,,"62.37","62.37",,"62.37",,"24.45",,,,,,,"0.84","2.66","18.45",,,,,,"2.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52.51","64.08",
"Mongolia","","286.66","224.71","5.9","56.05","0.72","6.64","1.28","0.01","8.26","6.76","1.09","1.06","5.04","29.07","0.01","0.12",,,"0.09","53.89","39.15","2.05","8.84","0.19","1.74","0.48",,"0.29",,"-0.34","1.29","11.33","0.83","45.54","13.42",,,,,,,,"0.74",,,,,,"0.01",,,,"0.09",,"5.75","-0.7",,"-4.63","-4.63",,,,,,,,,,,,,,"8.34",,"0.84","1.78",,,"2.45",,,"1.82","0.04","1.41",,,,,,,,"28.54","28.54",,"28.54",,"10.38",,,,,,,"1.17","2.28","6.26",,,,"0.42","0.25",,,,,,,"0.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"142.72","57.97",
"Montenegro","","80.07","44.12","10.13","25.82",,,"2.15",,,"0.19","0.71","0.04","0.63","13.75","0.33","0.64",,,"0.38","0.87",,"6.79","1.11",,"3.51","-0.84",,"0.08","1.71","4.51","1.3",,"0.21","6.05","13.7",,,,,"0.01","0.02",,,,,,,,,,,,,,"10.1",,,,,,,,,,,,,,,,,,"2.67",,"0.29",,,"0.04","1.06",,,,"0.54","0.74",,,,,,,,"3.12","3.12",,"3.12",,"6.34",,,,,,,,"2.02","1.48",,,,,,"2.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21.89","33.69",
"Montserrat","","25.75","16.59",,"9.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.58","0.01","8.62",,,,,,,,,,,,,,,,,,,,,,,,,"0.47",,,,,,,,,"0.47",,,,"0.07",,,,,,"0.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.59","16.58",
"Morocco","","985.5","596.42","11.24","377.84","0.09",,"0.18","20.71","3.1","0.04","0.33","0.57","254.43","38.94","0.17",,,"0.01","9.6","121.16","3.92",,"1.14",,"0.02","0.01","0.15",,,"90.59","0.02","2.94","3.22","45.17","223.44",,,,,,"0.16",,"15.04",,,,,,"0.12",,,,"0.02",,"0.45","-4.55",,,,"-1.87","-1.07",,"-1.07",,,,,,,,,"-0.8","3.57",,"0.42","-1.62",,"0.37","1.24",,,"1.8","0.29","1.07",,,,,,,,"-1.35","-1.35",,"-1.35",,"154.05",,,"137.48",,,,,"5.3","6.37",,,,,"4.9",,,,,,,"0.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"475.62","420.11",
"Mozambique","","1943.13","1349","1.91","592.23","9.25","20.88","8.75","33.97","82",,"85.3","47.25","38.12","76.9","0.06",,"1.99","56.58","35.32","62.85","0.95","0.11","81.84",,"73.69","0.02","112.62","0.08",,"43.91","84.54","29.36","104.42","267.49","192.33",,,,,,,,"1.56",,,,,,,,,,"0.01",,"0.06","0.28",,"21.42","21.42","77.96","73.67",,"73.67",,,,,,,,,"4.29","33.58",,"0.29","1.69",,"0.85","8.12",,,"4.12","0.8","15.83",,,,,"1.88",,,"164.22","164.22",,"164.22",,"102.72",,"6.11",,,,,"12.08","2.96","77.46",,,,"2.35","1.76",,,,,,,"9.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"667.1","809.79",
"Myanmar","","354.92","249.28","-27.71","133.35","10.78","44.4","0.02","0.14","0.61","1.44","10.9","0.39","1.99","18.31",,,,"0.6","1.01","46.83","3.25","0.23","2.74","0.89","21.71",,,,,"0.01","12.46","6.19","44.17","30.99","55.93",,,,,,"0.09",,"0.09",,,,,,,,,,"-33.92",,"6.03",,,,,,,,,,,,,,,,,,"37.41",,"0.45",,,"0.64","10.29",,,"5.93",,"18.36",,,,,"1.74",,,,,,,,"40.01",,,,,,,"0.09","0.13","36.94",,,,,"2.85",,,,,,,"10.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143.91","94.41",
"Namibia","","261.33","213.48","-1.33","49.18","0.75","0.09",,"0.57","0.5","0.14","-0.08","3.81","0.42","24.01","0.02","0.02","2.04",,"0.01","40.59","0.08","12.46","1.56",,"-2.98","0.03",,,,"8.54","3.25","0.7","0.56","117.14","10.81",,,,,,,,"-1.4",,,,,,,,,,"0.04",,"0.01","0.02",,,,"-0.41","-0.41",,"-0.41",,,,,,,,,,"3.26",,"0.43","-2.13",,"0.55","1.14",,,"1.3","1.01","0.8",,,,,"0.16",,,,,,,,"35.52",,"-0.59",,,,,,"6.71","29.45",,,,"-0.05",,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"183.23","55.32",
"Nauru","","27.78","26.69",,"1.09",,"23.33",,,,,,,,,,,,,,"1.64","0.01",,,"1.7",,,,,,,,,"0.01",,"1.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.65","0.01",
"Nepal","","767.35","475.26","1.35","290.73","3.69","23.56","1.51","1.13","11.84","0.03","38.12","22.43","-3.16","41.95","0.06",,,"0.47","0.29","81.21","20.78","0.78",,"0.56","47.21","0.07",,,,"0.24","1.76","27.94","105.19","51.29","46.16",,,,"0.79",,"0.22",,"-0.13",,,"0.01",,,,,,,"0.28",,"0.01","0.17",,"39.16","39.16","0.11",,,,,,,,,,,,"0.11","42.47",,"0.02","2.95",,"0.57","9.43",,,"3.34","3.79","8.02",,"4.53",,,"9.82",,,"130.56","130.56",,"130.56",,"32.27",,,,,,,"13.39","0.41","20.47",,,,"-0.47","-1.53",,,,,,,"3.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"288.61","210.87",
"Netherlands Antilles","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Caledonia","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nicaragua","","511.16","390.08","0.05","121.04","2.89","0.96","8.35","3.48","12.53",,"31.79","17.05","0.96","27.71",,,"0.72","2.15","1.77","34.37","5.6","9.45","26.37","0.05","18.49","0.01",,,,"106.18","10.54","14.94","7.25","49.36","21.89",,,,,,"0.01",,,,,,,,,,,,,,"0.02","0.02",,"19.53","19.53",,,,,,,,,,,,,,"8.84",,"0.6","3.57",,"0.1","2.23",,,"1.45",,"0.81",,,,,"0.08",,,"44.49","44.49",,"44.49",,"26.29","5.14",,,,,,"5.79","2.19","10.7",,,,"2.42","0.05",,,,,,,"2.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133.95","253.06",
"Niger","","741.38","375.17","3.02","363.19","3.06","0.38","0.04","34.81","53.7","0.08","12.96","0.66","49.98","22.64","0.12",,,"2.27","3.02","25.16","1.15","8.8","2.77",,"3.49",,,,"0.05","25.87","8.5","18.71","3.18","96.83","150.79",,,,,,"0.01",,"0.03",,,,,,,,,,,,"2.16","0.82",,"4.88","4.88","37.51","24.51",,"24.51",,,,,,,,,"13","76",,"0.53","2.82",,"0.45","9.76",,,"3.28",,"22.81",,,,,"36.35",,,"71.75","71.75",,"71.75",,"22.26",,"0.31",,,,,"8.16","4.4","5.53",,,,,"3.86",,,,,,,"3.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"254.51","175.75",
"Nigeria","","2052.36","846.04","1.52","1204.8","21.75","0.4","0.85","0.29","12.61","0.63","19","0.89","8.88","38.98","1.45","0.24",,"1.78","2.08","23.87","3.11",,"9.11",,"14.07","0.12",,,,"0.49","0.34","0.5","264.61","441.74","60.29",,,,,,"0.75",,,,,,,,"0.12",,,,"0.02",,"0.48","0.15",,,,"25.64","22.48",,"22.48",,,,,,,,,"3.16","82.28",,"0.49","2.8",,"1.83","15.35",,,"6.74","0.75","54.32",,,,,,,,"975.39","975.39",,"975.39",,"61.2",,,,,,,"7.62","5.58","48",,,,,,,,,,,,"21.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"792.77","349.74",
"Niue","","15.19","14.06",,"1.13",,"1.45",,,,,,,,,,,,,,"0.05",,,,"12.56",,,,,,,,,,,"1.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.01",,,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.05",,
"North Macedonia","","194.31","95.98","28.54","69.79",,,"2.75","0.05",,"0.19","0.03","0.24","2.91","14.08","0.89","0.02",,,"2.12","23.05",,,"2.32",,"7.52","0.04","0.01","0.43","1.27","0.35","6.59","10.49","1.15","19.48","55.09",,,,,"0.01","0.02",,,,,,,,"0.23",,,,,,"28.28",,,,,"7.25",,,,,,,,,,"6.62",,"0.63","2.11",,"0.21","-0.28",,,"0.69",,,"0.25","0.5","0.74",,,,,,,,"-8.22","-8.22",,"-8.22",,"13.56",,,,,,,,"1.89","1.92",,,,,,"9.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62.79","35.44",
"Northern Mariana Islands","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oman","","-21.61","7.66","-28.64","-0.63",,,,,,,,,"0.82","1",,,,,,"1.5","0.01",,"0.37",,,,,,,"0.01",,,"0.93","3.02",,,,,,,,,"6.51",,,,,,,,,,,,"0.06","-35.21",,,,"-1.34",,,,,,,,,,,,"-1.34","0.39",,"0.25",,,,,,,"0.14",,,,,,,,,,,,,,,"0.32",,,"0.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.27","3.13",
"Pakistan","","2933.21","2421.75","199.24","312.22","16.17","113.49","9.78","14.71","101.85","1.7","29.96","17.04","14.44","142.1","0.38","0.01","0.3","5.04","12.16","207.89","19.47","3.74","53.72","2.88","83.12","0.1",,,"0.04","22.7","42.51","23.66","298.51","1200.45","172.28",,,,"0.16","0.12","0.02",,"-0.03",,,"0.02",,,"0.19",,,,"0.29",,"134.49","63.99",,"-262.86","-262.86","-0.16",,,,,,,,,,,,"-0.16","73.11",,"1.67","14.4",,"0.72","12.68",,,"10.81",,"23.76",,,,,"9.07",,,"204.81","204.81",,"204.81",,"125.04","3.59",,,,,,"95.37","2.67","25.29",,,,"-0.57","-1.31",,,,,,,"16.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1977.4","668.64",
"Palau","","28.76","27.74",,"1.01",,"0.74",,,,,,,,"0.18",,,,,,"9.58","0.04",,,"0.01",,,,,,,,,"0.02","17.17","0.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.33",,,,,,,,"0.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.95","0.2",
"Panama","","129.61","120.9","0.2","8.52","2.65",,"0.01",,"0.53","0.03",,"0.03","0.14","1.37","0.04",,,,,"101.83","-0.41",,,,"2.36",,,,,"5.87","0.08",,"0.04","8.98","1.51",,,,,,"0.14",,,,,,,,,,,,"0.01",,"0.02","0.03",,,,,,,,,,,,,,,,,"4.25",,"0.33",,,"0.42","0.53",,,"0.77","0.97","0.87",,,,,"0.36",,,,,,,,"2.76",,,,,,,,"2.76",,,,,,,,,,,,,"2.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112.89","7.61",
"Papua New Guinea","","514.28","440.72",,"73.56","0.01","386.94","0.75",,"0.09","0.02","0.01","0.08","0.16","0.83",,,,"0.03",,"22.21","0.39",,"0.02","23.85","1.78",,,,,"0.15",,"0.1","1.03","2.28","50.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.24",,,"-0.36",,"0.67","3.94",,,"2.12","0.31","1.56",,,,,,,,"4.62","4.62",,"4.62",,"10.64",,,,,,,"2.45","1.91","6.28",,,,,,,,,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.6","3.08",
"Paraguay","","112.36","67.14","0.09","45.13","0",,"0.04","0.02","0.48","0.23","0.15","0.2","0.13","5.39",,,,"0.02","0.44","-3.73","11.63","0.12",,"0.03","1.04",,,,,"21.84","1.43","0.32","0.01","27.35","29.88",,,,,,"0.07",,,,,,,,,,,,"0.01",,"0.01",,,,,,,,,,,,,,,,,,"7.94",,"0.09","4.61",,"0.06","1.35",,,"1.04",,"0.79",,,,,,,,"-1.49","-1.49",,"-1.49",,"8.8",,,,,,,,"0.9","8.7",,,,,"-0.8",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.07","30.02",
"Peru","","-298.89","-357.25","0.97","57.39","3.63","1.9","0.93","15.63","22.15","0.35","1.4","3.26","10.1","51.85","0.1",,,"0.45","5.27","-711.61","6.4","1.49","0.32","0.24","3.78",,"0.02",,,"118.05","1.02","21.35","1.27","87.03","25.76",,,,,,"0.87",,,,,,,,"0.01",,,,"0.04",,"0.03","0.02",,,,,,,,,,,,,,,,,"3.05",,"0.34","-1.98",,"0.55","0.83",,,"2.22",,"1.15",,,,,"-0.06",,,,,,,,"28.58",,,,,,,,"6.7","22.95",,,,,"-1.07",,,,,,,"3.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-533.94","211.51",
"Philippines","","582.45","452.13","-0.78","131.11","7.18","106.17","0.5","4.14","16.65","0.42","2.27","1.22","189.43","26.28","0.08",,,"0.61","-6.92","-87.73","29.54","0.27","0.37","2.25","17.6",,,,,"27.01","6.77","1.17","0.58","113.45","51.93",,,,,,"0.57",,"-1.69",,,,,,,,,,"0.06",,"0.1","0.18",,,,"0.46",,,,,,,,,,,,"0.46","30.77",,"0.62","16.19",,"0.32","2.41",,,"5.33","0.43","3.35",,,,,"2.12",,,"-6.92","-6.92",,"-6.92",,"54.86",,,,,,,,"11.48","44.42",,,"0.57","-0.27","-1.34",,,,,,,"7.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"251.74","253.03",
"Qatar","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rwanda","","1033.09","547.12","1.88","484.09","7.25","0.46","1.26","70.32","58.7","0.02","2.27","0.21","4.12","48.31","0.03",,,"2.4","1.31","22.82","6.86","5.21","39.43",,"4.36","0.08","0.55",,"0.04","1.78","25.22","5.41","106.17","139.78","104.35",,,,,,"0.03",,"1.28",,,,,,,,,,,,"0.16","0.41",,"-0.09","-0.09","42.67","42.67",,"42.67",,,,,,,,,,"36.02",,,"10.34",,"0.82","7.93",,,"2.69","1.5","11.55",,,,,"1.19",,,"145.52","145.52",,"145.52",,"155.62",,"2.97",,,,,"1.92","3.35","142.9",,,,"1.27","3.21",,,,,,,"7.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"381.21","308.73",
"Saint Helena","","53.67","53.67",,,,,,,,,,,,"0.02",,,,,,,,,,,,,,,,,,,"53.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.67","53.67",
"Saint Kitts and Nevis","","11.48","0.15","-0.85","12.18",,"0.26","0.03",,"0.03",,,,"-0.08","0.05",,,,,,"0.72",,,,,,,,,,"0.03",,,,"-0.89","8.56",,,,,,,,"-0.85",,,,,,,,,,,,,,,,,"3.6",,,,,,,,,"3.6",,,,,,,,,,,,,,,,,,,,,,,"-0.04","-0.04",,"-0.04",,"0.06",,,,,,,,"0.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.17","0.03",
"Saint Lucia","","41.15","1.45","-1.15","40.85",,"0.67",,,"0.14",,,,"-2.36","0.05",,,,"0.05",,"2.55","0.08","0.03",,"0.1",,,"0.04",,,"0.08",,,"0.02",,"23.61",,,,,,"0.01",,"-1.16",,,,,,,,,,,,,,,,,"7.18",,,,,,,,,"7.18",,,,"0",,,"-0.11",,,"0.11",,,,,,,,,,,,,"10.23","10.23",,"10.23",,"-0.17",,,,,,,,,,,,,,"-0.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.4","-2.09",
"Saint Vincent and the Grenadines","","16.85","1.06","-0.71","16.5",,"0.49",,,"0.29",,,"0.17","-1.08","0.03",,,,,,"0.87","0.02",,,"0.06",,,"0.01",,,,,,"0.02","0.18","10.38",,,,,,,,"-0.71",,,,,,,,,,,,,,,,,"4.86",,,,,,,,,"4.86",,,,"0.01",,,"-0.14",,,"0.15",,,,,,,,,,,,,"1.25","1.25",,"1.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.31","-0.85",
